funcion,tipo_cruza,dim,tam_pob,generaciones,repeticion,semilla,mejor_final,peor_final,promedio_final,tiempo_total_seg
sphere,blx,10,100,1000,8,50,2.466428414023958e-10,2.0891168849284374,0.32629740985893535,1.3753603539998949
sphere,sbx,10,100,1000,8,50,1.4524812231064748e-07,1.8737119985510693,0.2950474988522956,1.368102848000035
rastrigin,un_punto,10,100,1000,8,50,0.000570920481294479,44.906654220710145,8.369227049155976,1.6859879829999045
rastrigin,uniforme,10,100,1000,8,50,0.0003654997291420159,46.06973151101424,10.859833881943281,1.9890350210002907
rastrigin,blx,10,100,1000,8,50,8.319688049596152e-09,47.82349785895859,9.369357319149511,1.9951543209999727
rastrigin,sbx,10,100,1000,8,50,0.00019896910242778176,40.05195491582913,8.76371538666616,1.9281197220002468
rosenbrock,un_punto,10,100,1000,8,50,6.8711074074436675,122.05750012032048,21.335558392752112,1.7052212730000065
rosenbrock,uniforme,10,100,1000,8,50,8.921988722632056,117.88583124482088,33.562323539237156,2.001070520000212
rosenbrock,blx,10,100,1000,8,50,6.352701066688075,95.98861413456102,28.255958765311206,1.9658873979997225
rosenbrock,sbx,10,100,1000,8,50,3.847040792562703,103.11444211730978,20.25527652343196,1.955496734999997
sphere,un_punto,10,100,1000,9,51,6.669288217362421e-06,1.7675901050980658,0.36631690491415336,1.116369586000019
sphere,uniforme,10,100,1000,9,51,3.697922607069412e-06,1.9065888077630517,0.3572215899986941,1.4187651419997565
sphere,blx,10,100,1000,9,51,5.524914618129718e-10,1.3504297801648553,0.3143932255265096,1.3881411299998945
sphere,sbx,10,100,1000,9,51,1.6977611519062707e-08,1.7720395065083412,0.32321599722766364,1.358697649000078
rastrigin,un_punto,10,100,1000,9,51,0.00017703817403003086,49.282229298088495,11.656196273920505,1.6993800129998817
rastrigin,uniforme,10,100,1000,9,51,0.00021636505346123158,42.966606469633625,8.02902488106366,1.9888329710001926
rastrigin,blx,10,100,1000,9,51,4.707203515863512e-10,38.93258961900085,9.492468191473336,2.017814241999986
rastrigin,sbx,10,100,1000,9,51,0.0002456370713588285,49.29731809653194,9.445327487777693,1.9441444249996493
rosenbrock,un_punto,10,100,1000,9,51,6.525810981603794,79.97523237815864,24.161076285441045,1.7122971210001197
rosenbrock,uniforme,10,100,1000,9,51,1.2087627455475314,141.3950823218357,23.326405158879208,2.002305526999862
rosenbrock,blx,10,100,1000,9,51,6.746018536295305,103.25372274325929,27.32478873109856,1.9806043899998258
rosenbrock,sbx,10,100,1000,9,51,7.564069496954316,92.42217052506467,28.691497424913663,1.957465215999946
sphere,un_punto,10,100,1000,10,52,1.734501098781259e-06,1.5091095438141104,0.292489540635245,1.1174670049999804
sphere,uniforme,10,100,1000,10,52,1.7738498146385147e-06,1.8716577726344217,0.31470311692615227,1.4582625820003159
sphere,blx,10,100,1000,10,52,4.149949362760768e-10,1.6675501005134412,0.3228901213713773,1.403614225000183
sphere,sbx,10,100,1000,10,52,2.1647596816935675e-07,1.709912034005552,0.2468137380349921,1.5747746829997595
rastrigin,un_punto,10,100,1000,10,52,0.00026953770557724965,38.05247756329854,9.158867375368887,1.8170271779999894
rastrigin,uniforme,10,100,1000,10,52,0.000638377672331103,39.45284876357025,8.941880528353058,2.230136917999971
rastrigin,blx,10,100,1000,10,52,6.283897846515174e-10,50.23211457047243,9.293777172445012,2.2821941730003346
rastrigin,sbx,10,100,1000,10,52,8.430632998113197e-05,37.450999759386896,7.981355405531115,2.235007724999832
rosenbrock,un_punto,10,100,1000,10,52,6.626412469405882,78.66382458122669,23.771551844946494,1.762361225999939
rosenbrock,uniforme,10,100,1000,10,52,5.708191993515642,85.04307550597552,22.925084619735944,1.6032777169998553
rosenbrock,blx,10,100,1000,10,52,6.963144266543321,122.52972276970266,28.49217990969998,1.4849991599999157
rosenbrock,sbx,10,100,1000,10,52,6.528652059254431,87.06630279344651,21.4649303747663,1.8055308039997726
sphere,un_punto,10,100,1000,11,53,9.614968164006912e-07,1.677356889255494,0.3802364223267294,1.1572706189999735
sphere,uniforme,10,100,1000,11,53,1.2572169531807922e-06,1.795563794830327,0.30375454568687316,1.4337889979997271
sphere,blx,10,100,1000,11,53,1.164974234847385e-09,1.868315439574467,0.3156098112180842,1.4274230060000264
sphere,sbx,10,100,1000,11,53,6.498255074490291e-07,1.2493688050248828,0.2749223439862257,1.39736018099984
rastrigin,un_punto,10,100,1000,11,53,0.00041183037848213644,41.956594107530236,11.773309103960418,1.7034789650001585
rastrigin,uniforme,10,100,1000,11,53,0.0010061027853254245,32.29446640655415,8.053316800713981,2.28376351299994
rastrigin,blx,10,100,1000,11,53,6.176890110509703e-10,46.09640603809713,11.481358830634639,1.9516857269995853
rastrigin,sbx,10,100,1000,11,53,6.030584884797463e-05,48.831597831572225,11.501139656744886,1.343074893999983
rosenbrock,un_punto,10,100,1000,11,53,9.546439402277393,71.42630352200813,27.215484676208078,1.3590014309997969
rosenbrock,uniforme,10,100,1000,11,53,6.040506704965117,83.82953676160618,24.576749983260033,1.4772401780001019
rosenbrock,blx,10,100,1000,11,53,5.939461219600768,99.90166547103892,28.277730059688487,1.8822245579999617
rosenbrock,sbx,10,100,1000,11,53,5.273826852879484,86.51864283166542,19.826339550542947,2.1002355159998842
sphere,un_punto,10,100,1000,12,54,2.961177258855045e-06,1.7465379895531974,0.294992265708319,1.242407522999656
sphere,uniforme,10,100,1000,12,54,5.229830349047636e-07,1.39106570709946,0.2998418196848037,1.4473701150000124
sphere,blx,10,100,1000,12,54,3.118050892962523e-10,1.4668361691478844,0.37591964987806437,1.3901250109997818
sphere,sbx,10,100,1000,12,54,2.921277228285962e-07,2.1137531670061387,0.3888162099560756,1.3860223060000862
rastrigin,un_punto,10,100,1000,12,54,0.00018739823032376535,36.860746706184614,8.373071847787635,1.7105091500002345
rastrigin,uniforme,10,100,1000,12,54,8.824460493883635e-05,37.88775298014744,8.468186872136338,2.023340547999851
rastrigin,blx,10,100,1000,12,54,1.7109869077103212e-10,37.446041100345155,9.20970062921666,1.9591886690000138
rastrigin,sbx,10,100,1000,12,54,0.00013948492239990173,40.43744870360729,9.536309473024675,1.9462885769999048
rosenbrock,un_punto,10,100,1000,12,54,6.337997272135841,93.82899528654532,23.55331975675208,1.7232183640003313
rosenbrock,uniforme,10,100,1000,12,54,6.119277243450122,74.54665757922636,20.60514741548018,2.023473666999962
rosenbrock,blx,10,100,1000,12,54,7.551769392738195,137.64925773546045,33.63258427523375,1.9765900509996754
rosenbrock,sbx,10,100,1000,12,54,6.4101664418226445,66.9449679486691,19.74921235423579,1.9577916980001646
sphere,un_punto,10,100,1000,13,55,2.5437393183892447e-06,1.4405188923543324,0.30506980202403144,1.1171975369998108
sphere,uniforme,10,100,1000,13,55,8.255191503202314e-07,1.2268714684555677,0.21218390040746335,1.4225626600000396
sphere,blx,10,100,1000,13,55,3.9918268583680737e-10,2.126747888479934,0.3131695834871176,1.3938140440000097
sphere,sbx,10,100,1000,13,55,6.103422081243253e-08,1.9417104188194814,0.3143212744229495,1.3644598310002038
rastrigin,un_punto,10,100,1000,13,55,0.0015831943662192316,39.016947336932844,9.160916227509247,1.7095676150001964
rastrigin,uniforme,10,100,1000,13,55,0.0003596018583920113,44.87383972934146,8.55784646321392,2.003468170999895
rastrigin,blx,10,100,1000,13,55,1.77561787495506e-09,39.32381103552592,7.779399096757306,1.9684583250000287
rastrigin,sbx,10,100,1000,13,55,1.962505407959725e-05,46.149122368150216,9.204266511959144,1.9654775559997688
rosenbrock,un_punto,10,100,1000,13,55,6.589803366524642,83.01977720218984,21.042132599954098,1.72758500000009
rosenbrock,uniforme,10,100,1000,13,55,6.46692860747506,64.09626665921196,20.53450539785773,2.0157070719997137
rosenbrock,blx,10,100,1000,13,55,6.6724645049568325,98.991915503147,33.00250856914849,1.9869607600003292
rosenbrock,sbx,10,100,1000,13,55,6.10631000228041,90.52027970643564,21.017753218885375,1.954544342999725
sphere,un_punto,10,100,1000,14,56,2.110241578594542e-06,1.643433797423344,0.26842754270756386,1.1171404060000896
sphere,uniforme,10,100,1000,14,56,2.0286019436519383e-06,1.9453299665420847,0.35855114901643875,1.4234001999998327
sphere,blx,10,100,1000,14,56,8.107207987216622e-10,1.6495191288226092,0.3328460856643057,1.4335150790002444
sphere,sbx,10,100,1000,14,56,1.7012475982883603e-07,1.537265385832855,0.28468341929472113,1.3556777399999191
